Gender,Teacher,Period,Student ID,Gender,Ethnicity,Economic,LEP,SCICOUR,CTE,TOT,BIO,ELA,Alg,GPA,TOSLS1,TOSLS2,TOSLS3,TOSLS4,TOSLS5,TOSLS6,TOSLS7,TOSLS8,TOSLS9,TOSLSTOT,BRAINS1,BRAINS2,BRAINS3,BRAINS4,BRAINS5,BRAINSTOT,SORT
M,Lewis,4,43954,1,0,0,0,1.5,0,1.5,88,91,98,3.654,3,3,3,2,0,4,3,3,1,22,18,12,26,17,6,79,0
F,Howell,6,47436,0,0,0,0,3.5,0,3.5,63,60,65,3.094,1,2,1,2,1,2,1,0,1,11,16,10,23,6,4,59,0
m,Lewis,4,59755,0,0,0,0,1.5,1.5,3,94,93,98,3.893,3,2,2,2,1,3,2,1,0,16,15,12,24,18,8,77,0
M,Marshall,5,35449,1,1,0,0,3.5,1.5,5,67,69,91,3.392,3,1,2,2,1,3,2,0,1,15,17,18,30,16,9,90,0
M,Lewis,3,43956,1,1,0,0,1.5,0.5,2,90,91,93,3.923,2,2,2,0,0,3,3,0,0,12,21,10,23,23,10,87,0
F,Robissa,2,43965,0,1,0,0,1.5,0,1.5,88,100,100,4,2,4,2,2,0,2,3,3,2,20,16,21,28,17,10,92,0
M,Robissa,2,44173,1,1,0,0,1.5,0,1.5,94,88,84,4,1,1,2,3,0,3,3,1,1,15,16,16,26,19,7,84,0
F,Frederiksen,2,46273,0,1,1,0,3.5,0,3.5,78,88,94,3.694,2,1,3,3,0,2,1,3,1,16,3,1,25,5,1,35,0
M,Frederiksen,7,47967,1,1,1,0,2.5,0,2.5,96,94,100,4,3,3,2,4,0,4,3,2,2,23,14,20,30,20,10,94,0
F,Frederiksen,2,49987,0,1,0,0,3.5,0,3.5,94,91,98,3.94,3,3,3,4,1,4,3,3,2,26,17,6,33,18,9,83,0
M,Lewis,8,56003,1,1,0,0,1.5,2,3.5,80,78,81,3.433,2,1,1,1,0,1,1,0,0,7,19,13,24,12,7,75,0
F,Frederiksen,1,56033,0,1,0,0,3,1,4,96,85,96,3.975,3,2,3,3,1,4,2,2,2,22,17,18,27,17,6,85,0
M,Robissa,4,58933,1,1,0,0,1.5,2.5,4,94,97,93,3.75,2,4,2,1,0,4,2,1,2,18,16,14,24,20,8,82,0
M,Smith,5,66221,1,1,0,0,3.5,2.5,6,87,78,80,2.81,3,3,2,1,0,3,1,0,1,14,21,14,27,19,8,89,0
M,Lewis,4,70290,1,1,0,0,1.5,0.5,2,,,,3.704,2,4,2,2,0,2,2,1,2,17,20,19,26,22,9,96,3
F,Howell,4,36105,0,2,0,0,3.5,0,3.5,41,44,57,2.646,3,3,1,4,1,4,1,1,0,18,10,4,21,9,1,45,0
F,Brennan,4,38558,0,2,0,0,2,0.5,2.5,63,60,72,2.927,2,1,3,3,0,2,1,0,1,13,22,12,27,16,6,83,0
M,Frederiksen,6,39556,1,2,1,0,4.5,0,4.5,85,81,94,3.906,3,4,2,2,0,4,3,1,0,19,19,23,25,19,6,92,0
M,Marshall,1,40465,1,2,1,0,3.5,2,5.5,93,82,63,2.929,3,5,3,3,0,2,3,2,2,23,18,19,26,20,11,94,0
F,Nyholm,5,41659,0,2,0,0,2.5,1,3.5,94,87,94,3.907,3,2,1,2,0,4,1,0,1,14,16,17,24,21,5,83,0
M,Lehmann,8,42535,1,2,0,0,2.5,2.5,5,59,69,89,2.902,1,1,1,1,0,3,2,1,1,11,7,8,25,13,4,57,0
M,Frederiksen,7,42863,1,2,1,0,2.5,4.5,7,89,79,83,3.25,3,3,1,2,0,4,2,2,1,18,17,18,24,18,8,85,0
F,Howell,4,44657,0,2,1,0,2.5,1.5,4,48,74,72,2.137,0,1,1,3,0,1,1,1,0,8,11,11,24,14,4,64,0
,Lewis,4,45781,0,2,0,0,1.5,0,1.5,74,87,78,3.214,2,2,2,2,1,1,0,1,2,13,16,6,20,15,3,60,0
F,Lew,4,45814,0,2,1,0,1.5,0.5,2,90,79,78,3.929,2,3,2,1,1,0,2,0,1,12,0,16,15,14,12,57,0
F,Lewis,3,46748,0,2,1,0,1.5,0.5,2,90,76,81,3.893,2,1,0,1,0,2,2,1,1,10,17,14,24,20,9,84,0
F,Nyholm,2,47391,0,2,1,0,2.5,2,4.5,78,78,89,3.214,0,3,1,3,1,3,1,2,1,15,22,21,30,20,10,103,0
F,Robissa,4,48249,0,2,1,0,1.5,0,1.5,100,94,89,3.846,1,1,1,3,0,1,0,1,1,9,16,22,26,15,7,86,0
F,Brennan,2,59254,0,2,0,0,2.5,0.5,3,76,78,63,3.447,2,4,1,3,1,3,3,1,2,20,17,14,25,14,4,74,0
F,Nyholm,2,59976,0,2,0,0,2,0,2,69,54,76,2.475,1,1,0,1,1,1,1,0,0,6,16,11,26,18,10,81,0
F,Marshall,1,64441,0,2,0,0,3.5,0,3.5,,,,3.308,2,0,2,2,0,2,0,2,1,11,14,6,26,15,4,65,3
F,Brennan,4,65419,0,2,0,0,2,3.5,5.5,76,84,93,3.5,0,2,1,1,1,2,1,1,0,9,14,15,27,18,10,84,0
F,Stapp,8,70464,0,2,0,0,2.5,0,2.5,54,60,72,2.846,,,,,,,,,,,,,,,,,16
M,Frederiksen,3,70624,1,2,0,0,2.5,0,2.5,91,76,91,3.667,2,0,2,2,0,3,3,2,2,16,20,12,27,21,2,82,0
F,Howell,4,34935,0,3,0,0,2.5,1,3.5,65,91,67,3.078,2,0,1,2,1,1,1,1,1,10,14,3,29,15,6,67,0
F,Howell,4,36190,0,3,1,0,2.5,1,3.5,63,66,67,2.642,2,1,1,1,0,0,0,1,0,6,7,8,23,8,3,49,0
F,GRADUATE,4,39006,0,3,1,0,4,0,4,89,93,98,3.8,,,,,,,,,,,,,,,,,16
M,Brennan,4,39119,1,3,0,0,3,0.5,3.5,72,68,70,3.556,1,2,1,3,1,3,2,1,0,14,13,8,27,15,2,65,0
M,Smith,6,39157,1,3,0,0,3,1,4,94,97,94,3.905,2,1,1,4,0,4,3,0,1,16,19,21,24,22,0,86,0
M,Howell,4,39254,1,3,0,0,3.5,0,3.5,89,84,76,3.58,3,3,2,3,1,3,1,1,0,17,11,3,26,16,3,59,0
M,Frederiksen,6,39390,1,3,0,0,3.5,4.5,8,85,85,89,3.389,2,4,2,2,0,3,3,2,1,19,23,21,29,18,11,102,0
F,Marshall,6,39608,0,3,1,0,2,1.5,3.5,50,62,39,1.704,0,1,2,2,0,1,1,0,1,8,15,12,23,13,3,66,0
M,Brennan,6,39887,1,3,1,0,3,0.5,3.5,76,74,65,3.098,2,2,1,3,0,1,3,1,2,15,18,16,30,18,5,87,0
F,Brennan,4,40028,0,3,1,0,3.5,0.5,4,83,79,96,3.83,2,3,3,1,1,2,1,1,0,14,12,18,27,13,7,77,0
M,Marshall,1,40466,1,3,1,0,2.5,1,3.5,65,69,56,1.921,1,2,0,2,1,1,2,0,1,10,21,15,32,19,0,87,0
M,Nyholm,5,40996,1,3,1,0,2.5,0.5,3,74,75,78,2.878,1,2,3,0,1,1,1,1,1,11,16,16,25,15,8,80,0
M,Nyholm,2,41560,1,3,0,0,2.5,1,3.5,56,75,69,3.098,1,0,1,2,1,1,1,0,1,8,16,11,26,15,6,74,0
F,Marshall,6,41565,0,3,0,0,2.5,1.5,4,44,50,48,3.308,2,2,1,1,0,1,1,1,0,9,11,7,20,8,3,49,0
M,Lehmann,3,41669,1,3,0,0,3,4,7,94,91,94,3.605,1,2,0,0,0,2,0,1,1,7,8,4,23,16,0,51,0
M,Lehmann,3,41728,1,3,0,0,2.5,0,2.5,96,79,94,3.756,2,0,1,3,0,4,2,0,1,13,13,7,25,24,2,71,0
F,Lehmann,5,41784,0,3,1,0,2.5,0,2.5,50,70,71,3.073,1,4,2,3,0,3,1,0,0,14,21,9,29,17,5,81,0
F,Frederiksen,7,41787,0,3,0,0,2.5,3,5.5,94,78,98,3.744,2,2,3,1,1,2,1,1,1,14,23,22,32,21,8,106,0
F,Nyholm,2,41846,0,3,0,0,2.5,0,2.5,76,59,75,3.073,1,2,2,1,1,1,1,1,0,10,10,11,17,11,3,52,0
M,Brennan,4,42493,1,3,1,0,2,0.5,2.5,83,81,93,3.487,0,2,0,1,0,0,1,0,0,4,5,10,24,18,2,59,0
